"","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_rENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","Study","Group","Trial","Condition","Filename","Pair"
"13",47.0705549993848,99.4320179680895,204531,169,13.0929883489544,3.30934235691477,0.648907653514107,99.8043976371769,17.6781892679334,8.92844278031984,93.2995965532699,43935,133,10.658791396381,2.65066078780364,0.547183818563341,95.8011655127758,12.7316776106757,"Study2","G6","T1","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G6_T1_TurnTaking.csv","Real"
"14",51.6017717922618,99.153762260879,234243,245,12.4976840289785,3.15527830051524,0.582573819944513,99.4082940443288,16.0710628767926,8.07853080621833,95.7196584358334,27381,130,15.8762280413425,3.30167719243692,0.683815794099919,97.5071893179726,21.3646451488397,"Study2","G6","T2","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G6_T2_Conversation.csv","Real"
"15",51.4540874822429,98.9843853493341,226612,215,12.8595573049971,3.16258655573057,0.624696728673482,99.7459604691528,21.3097755491535,19.578589241113,98.3055282481615,57929,264,18.6778297571165,3.10493833737546,0.58119507146778,99.2881401514394,25.2998796129092,"Study2","G7","T1","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G7_T1_Conversation.csv","Real"
"16",48.4818227704388,99.327641604965,219630,192,12.5452624869098,3.23347300682853,0.628164444156957,99.5789063099885,18.6796188724413,24.3818486452621,98.3471466300906,65614,400,20.5444722162953,3.28561809876365,0.596806582368196,99.2396363795544,27.3014069807117,"Study2","G7","T2","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G7_T2_Synchronous.csv","Real"
"17",46.589838200915,99.6833118631631,193991,176,13.6979138207443,3.34479763001526,0.65585984992989,99.844056789288,21.2248759948325,29.2319626955901,99.0491786120259,43656,373,37.2844740700018,4.29009348222952,0.760876839756598,99.3508247957179,49.0225798702859,"Study2","G8","T1","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G8_T1_TurnTaking.csv","Real"
"18",49.1929445699713,98.9955784989635,261918,216,10.6383830053681,3.06462157672761,0.617513100861897,99.4011344196713,12.7960804043084,30.6030214309309,99.0720138201061,50588,291,33.6923183363644,4.07569313236496,0.722851500373346,99.4952894456612,54.252131469684,"Study2","G8","T2","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G8_T2_Synchronous.csv","Real"
"19",48.0543247558752,99.2332807299636,260263,219,10.4833418503591,3.02317802068771,0.594225213928971,99.629097143597,15.7646276825331,23.4834454921615,99.1666130113509,37873,438,34.5669210255327,4.0956560322635,0.696477010117127,99.456957705724,43.2600573292478,"Study2","G8","T3","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G8_T3_Conversation.csv","Real"
"20",49.5266412008814,99.0893332787531,241076,287,11.6475385355655,3.18446115399492,0.602751912948774,99.5623816937851,21.9339884473952,21.7373894917872,98.4370678184416,49773,242,24.1677013641934,3.74591992176849,0.703722130232566,99.3324866325477,23.8274345837505,"Study2","G9","T1","Synchronous","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G9_T1_Synchronous.csv","Real"
"21",45.1466566369504,99.3528031775281,250076,146,10.2625681792735,3.075272394753,0.634837660037862,99.6759757504433,13.6523767862351,20.3001223308283,98.2117069751139,57648,212,19.4419927837913,3.45073858802252,0.675827543725491,99.080616894497,19.4818656420683,"Study2","G9","T2","Conversation","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G9_T2_Conversation.csv","Real"
"22",42.1930753011711,99.3004565589654,220378,196,10.877936999156,3.12841336519734,0.631259591756531,99.6083501163559,15.4463707605344,20.0875153714013,98.0279796820539,50977,216,21.7152637463954,3.713887343393,0.719078653431922,98.9855195670039,22.6369914336054,"Study2","G9","T3","TurnTaking","C:/Users/Ejer/Desktop/3. semester/Experimental Methods 3/Assignment4/Heart Rate/Study2_G9_T3_TurnTaking.csv","Real"
